row_type,scope,artifact,aggregation,window_s,selected_k,cluster_id,rows,features_total,cluster_size,cluster_frac,silhouette_score,davies_bouldin_score,calinski_harabasz_score,largest_cluster_size,largest_cluster_frac,attack_rate_global,attack_count,attack_rate,attack_lift_vs_global,artifact_count,time_cluster_min,time_cluster_max,status,warnings,best_cluster_attack_rate,best_cluster_attack_lift,n_clusters,method,linkage
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,4,4745,201,55,0.011591148577449948,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,6,0.10909090909090909,0.784297520661157,,2022-02-04 07:15:00,2022-02-12 23:38:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,5,4745,201,3,0.0006322444678609062,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,0,0.0,0.0,,2022-02-05 01:10:00,2022-02-12 23:16:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,6,4745,201,1018,0.21454162276080085,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,128,0.12573673870333987,0.9039709471929511,,2022-02-04 07:09:00,2022-02-13 11:17:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,7,4745,201,1,0.00021074815595363542,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,1,1.0,7.1893939393939394,,2022-02-11 22:54:00,2022-02-11 22:54:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,8,4745,201,9,0.0018967334035827187,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,3,0.3333333333333333,2.3964646464646466,,2022-02-05 01:18:00,2022-02-12 23:33:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,9,4745,201,1,0.00021074815595363542,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,0,0.0,0.0,,2022-02-12 22:47:00,2022-02-12 22:47:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,10,4745,201,5,0.001053740779768177,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,4,0.8,5.751515151515152,,2022-02-06 07:56:00,2022-02-12 00:04:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,11,4745,201,1,0.00021074815595363542,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,0,0.0,0.0,,2022-02-04 07:05:00,2022-02-04 07:05:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,12,4745,201,6,0.0012644889357218123,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,1,0.16666666666666666,1.1982323232323233,,2022-02-06 07:15:00,2022-02-12 23:39:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,14,13,4745,201,16,0.0033719704952581667,0.4927718616451257,1.1480572827827662,597.853021879426,3464,0.7300316122233931,0.13909378292939936,3,0.1875,1.3480113636363638,,2022-02-05 01:16:00,2022-02-12 23:30:00,success,,,,14,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,0,4745,201,4,0.0008429926238145417,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,1,0.25,1.7973484848484849,,2022-02-04 07:08:00,2022-02-12 01:47:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,1,4745,201,55,0.011591148577449948,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,6,0.10909090909090909,0.784297520661157,,2022-02-04 07:15:00,2022-02-12 23:38:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,2,4745,201,147,0.030979978925184403,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,19,0.1292517006802721,0.9292413935271079,,2022-02-04 07:11:00,2022-02-12 23:37:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,3,4745,201,15,0.003161222339304531,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,4,0.26666666666666666,1.9171717171717173,,2022-02-04 07:06:00,2022-02-12 19:23:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,4,4745,201,5,0.001053740779768177,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,4,0.8,5.751515151515152,,2022-02-06 07:56:00,2022-02-12 00:04:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,5,4745,201,3,0.0006322444678609062,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,0,0.0,0.0,,2022-02-05 01:10:00,2022-02-12 23:16:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,6,4745,201,1018,0.21454162276080085,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,128,0.12573673870333987,0.9039709471929511,,2022-02-04 07:09:00,2022-02-13 11:17:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,7,4745,201,1,0.00021074815595363542,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,1,1.0,7.1893939393939394,,2022-02-11 22:54:00,2022-02-11 22:54:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,8,4745,201,9,0.0018967334035827187,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,3,0.3333333333333333,2.3964646464646466,,2022-02-05 01:18:00,2022-02-12 23:33:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,9,4745,201,1,0.00021074815595363542,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,0,0.0,0.0,,2022-02-12 22:47:00,2022-02-12 22:47:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,10,4745,201,3041,0.6408851422550053,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,421,0.13844130220322262,0.9953090590216536,,2022-02-04 07:40:00,2022-02-13 08:02:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,11,4745,201,1,0.00021074815595363542,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,0,0.0,0.0,,2022-02-04 07:05:00,2022-02-04 07:05:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,12,4745,201,6,0.0012644889357218123,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,1,0.16666666666666666,1.1982323232323233,,2022-02-06 07:15:00,2022-02-12 23:39:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,13,4745,201,16,0.0033719704952581667,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,3,0.1875,1.3480113636363638,,2022-02-05 01:16:00,2022-02-12 23:30:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,15,14,4745,201,423,0.08914646996838778,0.5054941429089073,1.1270125361179661,612.4270975040836,3041,0.6408851422550053,0.13909378292939936,69,0.16312056737588654,1.1727380184826994,,2022-02-04 07:39:00,2022-02-13 07:50:00,success,,,,15,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,16,0,4745,201,55,0.011591148577449948,0.5055732834720827,1.0487824338563079,625.2622984054727,3041,0.6408851422550053,0.13909378292939936,6,0.10909090909090909,0.784297520661157,,2022-02-04 07:15:00,2022-02-12 23:38:00,success,,,,16,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,16,1,4745,201,15,0.003161222339304531,0.5055732834720827,1.0487824338563079,625.2622984054727,3041,0.6408851422550053,0.13909378292939936,4,0.26666666666666666,1.9171717171717173,,2022-02-04 07:06:00,2022-02-12 19:23:00,success,,,,16,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,16,2,4745,201,147,0.030979978925184403,0.5055732834720827,1.0487824338563079,625.2622984054727,3041,0.6408851422550053,0.13909378292939936,19,0.1292517006802721,0.9292413935271079,,2022-02-04 07:11:00,2022-02-12 23:37:00,success,,,,16,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,16,3,4745,201,9,0.0018967334035827187,0.5055732834720827,1.0487824338563079,625.2622984054727,3041,0.6408851422550053,0.13909378292939936,3,0.3333333333333333,2.3964646464646466,,2022-02-05 01:18:00,2022-02-12 23:33:00,success,,,,16,agglomerative,ward
cluster,per_dataset,Magnet_CTF_2022_Windows_Laptop,sum,60,16,4,4745,201,5,0.001053740779768177,0.5055732834720827,1.0487824338563079,625.2622984054727,3041,0.6408851422550053,0.13909378292939936,4,0.8,5.751515151515152,,2022-02-06 07:56:00,2022-02-12 00:04:00,success,,,,16,agglomerative,ward
